Dauer [s], Verbrauch [g/s], Mode [0=Parking. 1=Driving]
643,0.1592,1
19253,0,0
269,0.11708,1
97,0,0
281,0.22798,1
145,0,0
160,0.19183,1
3291,0,0
175,0.14691,1
2172,0,0
227,0.099427,1
60357,0,0
223,0.14464,1
23662,0,0
173,0.11914,1
7923,0,0
1286,0.098337,1
819,0,0
596,0.061051,1
3707,0,0
951,0.16612,1
43357,0,0
513,0.17467,1
26882,0,0
234,0.13354,1
140,0,0
275,0.19382,1
734,0,0
380,0.17963,1
886,0,0
462,0.11935,1
60631,0,0
725,0.099974,1
194,0,0
353,0.12407,1
13533,0,0
697,0.087992,1
1985,0,0
1353,0.056769,1
357,0,0
638,0.15836,1
3913,0,0
438,0.20003,1
66296,0,0
157,0.15832,1
369,0,0
2457,0.19795,1
8349,0,0
2531,0.19608,1
2546,0,0
1217,0.13385,1
69417,0,0
326,0.11441,1
1599,0,0
368,0.080996,1
4376,0,0
514,0.18134,1
3975,0,0
1669,0.27898,1
6276,0,0
1579,0.28105,1
13338,0,0
822,0.13208,1
636,0,0
976,0.15217,1
41753,0,0
586,0.16432,1
21040,0,0
254,0.13221,1
119,0,0
254,0.19342,1
4038,0,0
250,0.15477,1
1369,0,0
196,0.14316,1
15283,0,0
381,0.24152,1
11672,0,0
412,0.17341,1
32298,0,0
495,0.19636,1
20244,0,0
262,0.13334,1
78,0,0
235,0.2099,1
22245,0,0
330,0.16562,1
504,0,0
321,0.19369,1
42404,0,0
255,0.094619,1
23665,0,0
199,0.14278,1
10300,0,0
161,0.14706,1
10821,0,0
238,0.10636,1
40002,0,0
598,0.15951,1
19446,0,0
284,0.10758,1
152,0,0
233,0.26488,1
4944,0,0
508,0.10492,1
1113,0,0
470,0.11824,1
64355,0,0
238,0.22994,1
2349,0,0
284,0.1728,1
7377,0,0
697,0.10821,1
4103,0,0
546,0.095047,1
1019,0,0
498,0.18229,1
2790,0,0
474,0.13584,1
573,0,0
431,0.14695,1
61320,0,0
341,0.11929,1
1428,0,0
322,0.073682,1
3299,0,0
908,0.083732,1
8193,0,0
1562,0.11034,1
1.5338e+005,0,0
503,0.19303,1
19998,0,0
644,0.16944,1
714,0,0
279,0.13587,1
21013,0,0
385,0.2741,1
11459,0,0
426,0.19279,1
31811,0,0
547,0.18422,1
16971,0,0
255,0.10172,1
177,0,0
240,0.29833,1
8122,0,0
436,0.15533,1
507,0,0
498,0.12927,1
247,0,0
1158,0.11818,1
982,0,0
419,0.10934,1
2908,0,0
1261,0.12806,1
63237,0,0
778,0.15755,1
2709,0,0
626,0.36888,1
7109,0,0
476,0.13904,1
1919,0,0
420,0.14963,1
11365,0,0
446,0.12749,1
4516,0,0
793,0.16989,1
224,0,0
653,0.23448,1
42373,0,0
589,0.16779,1
17360,0,0
246,0.11748,1
95,0,0
247,0.21609,1
73467,0,0
187,0.18111,1
417,0,0
236,0.077572,1
650,0,0
364,0.13757,1
3112,0,0
290,0.16685,1
2762,0,0
282,0.082191,1
4317,0,0
177,0.17167,1
4129,0,0
534,0.09832,1
301,0,0
550,0.11565,1
91010,0,0
2052,0.24238,1
14561,0,0
1532,0.27404,1
49892,0,0
1142,0.13575,1
1536,0,0
303,0.089239,1
1153,0,0
1028,0.24306,1
905,0,0
287,0.1403,1
73185,0,0
472,0.11218,1
2361,0,0
335,0.13048,1
244,0,0
217,0.10913,1
2807,0,0
661,0.19933,1
202,0,0
452,0.14533,1
12065,0,0
1300,0.20763,1
496,0,0
335,0.17397,1
11455,0,0
962,0.13875,1
9156,0,0
738,0.16205,1
41470,0,0
417,0.090496,1
2311,0,0
382,0.13735,1
34456,0,0
1456,0.3233,1
58676,0,0
184,0.16258,1
434,0,0
200,0.10658,1
13196,0,0
451,0.10212,1
188,0,0
443,0.12804,1
5938,0,0
4678,0.22651,1
41278,0,0
775,0.11733,1
3929,0,0
194,0.16438,1
1.2842e+006,0,0
159,0.15943,1
9024,0,0
4838,0.2525,1
23089,0,0
242,0.13562,1
285,0,0
233,0.085931,1
525,0,0
368,0.12351,1
2.6537e+005,0,0
234,0.1606,1
743,0,0
404,0.093373,1
1.5188e+005,0,0
387,0.10005,1
1435,0,0
279,0.15667,1
18452,0,0
3181,0.14469,1
9871,0,0
485,0.11781,1
2233,0,0
1358,0.19887,1
50570,0,0
715,0.077866,1
1497,0,0
376,0.1716,1
73100,0,0
146,0.17942,1
2058,0,0
198,0.10048,1
85252,0,0
1513,0.33147,1
10032,0,0
1486,0.32644,1
8901,0,0
210,0.18272,1
300,0,0
6476,0.36484,1
57785,0,0
912,0.088163,1
3030,0,0
1636,0.1996,1
5996,0,0
1585,0.13592,1
79221,0,0
727,0.09264,1
4150,0,0
6425,0.30515,1
6026,0,0
3833,0.35822,1
57146,0,0
406,0.11722,1
1408,0,0
280,0.16307,1
282,0,0
186,0.1164,1
13772,0,0
562,0.2041,1
3744,0,0
536,0.43547,1
9865,0,0
561,0.097009,1
2601,0,0
381,0.19441,1
83238,0,0
207,0.18985,1
6965,0,0
204,0.13891,1
44488,0,0
414,0.1161,1
1413,0,0
373,0.17387,1
2669,0,0
427,0.22409,1
8516,0,0
230,0.13793,1
126,0,0
256,0.25134,1
6836,0,0
582,0.15161,1
1091,0,0
569,0.14818,1
65436,0,0
415,0.13545,1
1319,0,0
368,0.15574,1
2891,0,0
698,0.19277,1
2270,0,0
387,0.12218,1
6640,0,0
608,0.3342,1
71999,0,0
297,0.13121,1
2058,0,0
470,0.057449,1
1117,0,0
475,0.10305,1
3932,0,0
581,0.16391,1
2961,0,0
729,0.15307,1
4246,0,0
662,0.25721,1
822,0,0
541,0.17007,1
5022,0,0
897,0.15421,1
1854,0,0
341,0.21937,1
61794,0,0
155,0.19668,1
253,0,0
195,0.11582,1
94058,0,0
166,0.1865,1
253,0,0
195,0.11746,1
5510,0,0
1348,0.11484,1
653,0,0
306,0.045768,1
4227,0,0
973,0.15965,1
62805,0,0
378,0.11763,1
1017,0,0
206,0.24393,1
289,0,0
317,0.085793,1
7232,0,0
594,0.15889,1
3317,0,0
539,0.10511,1
5406,0,0
1092,0.16749,1
2493,0,0
289,0.11077,1
61417,0,0
489,0.10797,1
917,0,0
203,0.12554,1
676,0,0
283,0.14419,1
5510,0,0
216,0.18731,1
198,0,0
222,0.12085,1
3280,0,0
183,0.18885,1
444,0,0
229,0.14689,1
160,0,0
169,0.128,1
15682,0,0
599,0.11428,1
317,0,0
469,0.15375,1
987,0,0
374,0.1128,1
