Dauer [s], Verbrauch [g/s], Mode [0=Parking. 1=Driving]
407,0.12342,1
3297,0,0
694,0.22998,1
2333,0,0
453,0.14193,1
3.1753e+005,0,0
928,0.14349,1
5474,0,0
974,0.13427,1
1.4421e+005,0,0
855,0.10134,1
3.9285e+005,0,0
1101,0.081882,1
1.5045e+005,0,0
2192,0.21988,1
6351,0,0
657,0.082385,1
3163,0,0
2670,0.18435,1
3.0365e+005,0,0
363,0.10288,1
596,0,0
452,0.09256,1
1.2932e+005,0,0
773,0.16802,1
2248,0,0
743,0.20661,1
46355,0,0
5025,0.20587,1
11158,0,0
3364,0.14076,1
21797,0,0
787,0.14895,1
7634,0,0
1218,0.10757,1
64767,0,0
9081,0.14663,1
2.5438e+005,0,0
424,0.10044,1
7582,0,0
439,0.097993,1
1.5017e+005,0,0
2364,0.16986,1
8393,0,0
1293,0.1535,1
2162,0,0
1183,0.09883,1
55997,0,0
4899,0.21718,1
10271,0,0
529,0.080946,1
1167,0,0
316,0.14125,1
546,0,0
1791,0.16625,1
4021,0,0
944,0.1018,1
1397,0,0
527,0.10925,1
1235,0,0
5732,0.20304,1
58625,0,0
1390,0.12701,1
14626,0,0
1586,0.14611,1
81,0,0
477,0.12052,1
8116,0,0
481,0.13025,1
473,0,0
416,0.14963,1
4.8762e+005,0,0
1158,0.1739,1
868,0,0
465,0.16556,1
4807,0,0
277,0.11859,1
2233,0,0
1256,0.16864,1
7423,0,0
542,0.11233,1
4072,0,0
554,0.11874,1
4.7828e+005,0,0
375,0.095652,1
255,0,0
504,0.081379,1
1.0023e+005,0,0
328,0.1321,1
325,0,0
1157,0.12513,1
1182,0,0
5990,0.28216,1
2321,0,0
10955,0.26819,1
-4995,0,0
5011,0.23439,1
31,0,0
1360,0.1793,1
4730,0,0
288,0.15513,1
1442,0,0
292,0.17316,1
562,0,0
407,0.14644,1
2331,0,0
607,0.16026,1
4.9308e+005,0,0
822,0.14429,1
191,0,0
224,0.12234,1
364,0,0
323,0.16875,1
7968,0,0
1180,0.2486,1
3854,0,0
962,0.22883,1
670,0,0
325,0.20849,1
1780,0,0
355,0.11683,1
3554,0,0
323,0.11065,1
2792,0,0
171,0.12605,1
52698,0,0
2112,0.22421,1
2249,0,0
4650,0.27554,1
209,0,0
6421,0.31034,1
673,0,0
5002,0.4357,1
5081,0,0
969,0.10695,1
74217,0,0
1689,0.14347,1
4509,0,0
1100,0.092981,1
54355,0,0
401,0.08818,1
33361,0,0
1338,0.085834,1
6669,0,0
474,0.11762,1
87062,0,0
761,0.068247,1
366,0,0
580,0.1033,1
3.09e+005,0,0
551,0.15139,1
461,0,0
4126,0.26179,1
7037,0,0
512,0.094727,1
313,0,0
1658,0.20192,1
163,0,0
353,0.12376,1
3102,0,0
584,0.080107,1
906,0,0
378,0.089699,1
1069,0,0
284,0.07139,1
4878,0,0
1848,0.20229,1
702,0,0
3646,0.19854,1
990,0,0
580,0.10376,1
2.1891e+005,0,0
515,0.079605,1
36706,0,0
902,0.075451,1
9.1476e+005,0,0
2873,0.21795,1
10904,0,0
2379,0.21754,1
2407,0,0
424,0.1344,1
8120,0,0
388,0.10625,1
7624,0,0
669,0.13844,1
300,0,0
888,0.10337,1
2.9753e+005,0,0
470,0.11719,1
549,0,0
490,0.09042,1
47706,0,0
13380,0.27435,1
203,0,0
1296,0.31221,1
1.4751e+005,0,0
218,0.12391,1
5255,0,0
915,0.28834,1
15752,0,0
1027,0.19005,1
40145,0,0
179,0.18164,1
19377,0,0
1034,0.25137,1
1359,0,0
958,0.23313,1
486,0,0
329,0.11189,1
4471,0,0
302,0.13646,1
956,0,0
1065,0.2965,1
14009,0,0
1098,0.19534,1
40866,0,0
6745,0.25001,1
490,0,0
8251,0.34126,1
5.1458e+005,0,0
1309,0.13231,1
847,0,0
383,0.16068,1
8152,0,0
235,0.1405,1
1882,0,0
1485,0.15086,1
8641,0,0
346,0.12532,1
391,0,0
268,0.13758,1
78,0,0
382,0.10145,1
680,0,0
387,0.11017,1
59347,0,0
1185,0.13893,1
4037,0,0
1114,0.18445,1
200,0,0
292,0.12303,1
77961,0,0
6361,0.31167,1
412,0,0
9152,0.25314,1
4329,0,0
608,0.15989,1
8.4055e+005,0,0
687,0.16426,1
1673,0,0
306,0.1666,1
6088,0,0
379,0.16923,1
298,0,0
389,0.14974,1
162,0,0
689,0.13412,1
12033,0,0
5721,0.2879,1
309,0,0
9431,0.36863,1
1.4518e+005,0,0
936,0.23981,1
497,0,0
3106,0.16667,1
4598,0,0
1155,0.15979,1
6718,0,0
4094,0.30499,1
1.3105e+005,0,0
6412,0.24518,1
925,0,0
364,0.13431,1
886,0,0
717,0.072467,1
12421,0,0
2912,0.16867,1
381,0,0
236,0.15885,1
65042,0,0
4964,0.10718,1
4552,0,0
247,0.10413,1
590,0,0
1104,0.32324,1
3561,0,0
242,0.17291,1
6025,0,0
840,0.22184,1
426,0,0
2554,0.21307,1
836,0,0
1010,0.11468,1
3230,0,0
2001,0.23201,1
64551,0,0
2973,0.2582,1
2041,0,0
333,0.04793,1
10770,0,0
285,0.18396,1
1789,0,0
1841,0.17004,1
4708,0,0
3014,0.19234,1
1.4889e+005,0,0
1151,0.16633,1
4802,0,0
246,0.078445,1
216,0,0
222,0.11473,1
6391,0,0
131,0.19117,1
1539,0,0
388,0.17641,1
4788,0,0
1120,0.26408,1
67676,0,0
2344,0.23121,1
8223,0,0
1289,0.26471,1
298,0,0
351,0.14576,1
806,0,0
252,0.09942,1
968,0,0
181,0.19428,1
939,0,0
993,0.26151,1
45959,0,0
2862,0.30093,1
11730,0,0
406,0.047055,1
3088,0,0
260,0.20689,1
2785,0,0
189,0.076908,1
435,0,0
2384,0.20298,1
292,0,0
522,0.31785,1
92378,0,0
8481,0.25693,1
218,0,0
5828,0.29854,1
3.9148e+005,0,0
1832,0.2394,1
426,0,0
7139,0.22903,1
11621,0,0
653,0.10953,1
253,0,0
8776,0.22821,1
57150,0,0
1258,0.1432,1
7861,0,0
289,0.13328,1
10798,0,0
1195,0.17298,1
93387,0,0
1003,0.086973,1
4404,0,0
553,0.14021,1
1.6734e+005,0,0
1702,0.12166,1
322,0,0
497,0.14565,1
7107,0,0
441,0.19047,1
943,0,0
1360,0.15159,1
2.1438e+005,0,0
910,0.15781,1
7350,0,0
915,0.13801,1
5254,0,0
1394,0.14851,1
19233,0,0
558,0.15789,1
934,0,0
859,0.14069,1
1.3782e+005,0,0
3236,0.19123,1
12918,0,0
3004,0.18367,1
4970,0,0
892,0.13137,1
2.7208e+005,0,0
624,0.074256,1
259,0,0
572,0.084595,1
2.4529e+005,0,0
1361,0.14042,1
6248,0,0
1266,0.17735,1
4.8541e+005,0,0
863,0.12342,1
5460,0,0
440,0.10346,1
5585,0,0
606,0.11677,1
183,0,0
583,0.11857,1
563,0,0
396,0.091928,1
12795,0,0
1302,0.14187,1
668,0,0
310,0.18578,1
3619,0,0
233,0.17428,1
