Time,P_H2_In,F-H-735,F-H-725,dP_HS,dP_NS,F_H2O,F_H2O_kg/s,dP_H2O,T_HS_In,T_HS_Out,T_NS_In,T_NS_Out,T_H2O_In,T_H2O_Out
[s],[bar],[kg/h],[kg/h],[bar],[bar],[m**3/h],[kg/s],[bar],[K],[K],[K],[K],[degC],[degC]
0,150.43,11.9,0.03,0.04,-0.02,0.53,0.161,0.56,78.31,133.72,108.24,164.21,-17.7,-24.7
1,150.43,12.01,0.03,0.04,-0.02,0.53,0.161,0.56,78.28,133.65,109,163.94,-17.7,-24.9
2,148.4,11.94,0.03,0.04,-0.02,0.53,0.161,0.56,78.33,133.68,109,163.94,-17.9,-24.7
3,148,11.94,0.03,0.06,-0.03,0.53,0.161,0.56,78.31,133.65,110.2,164.68,-17.7,-24.8
4,150.43,11.88,0.03,0.07,-0.01,0.53,0.161,0.56,78.28,133.65,108.43,164.19,-17.7,-24.9
5,150.43,11.99,0.03,0.07,-0.02,0.53,0.161,0.56,78.26,133.65,108.43,163.97,-17.7,-24.7
6,148.68,11.91,0.03,0.04,-0.02,0.53,0.161,0.56,78.33,133.6,109.14,163.97,-17.7,-24.6
7,147.15,11.81,0.03,0.03,-0.02,0.53,0.161,0.56,78.33,133.65,110.3,164.73,-18,-24.7
8,150.55,11.81,0.03,0.07,-0.01,0.53,0.161,0.56,78.28,133.65,108.45,164.24,-17.7,-24.8
9,150.55,11.97,0.03,0.07,-0.02,0.53,0.161,0.56,78.28,133.65,108.45,163.94,-17.7,-24.7
10,149.07,11.95,0.03,0.04,-0.02,0.53,0.161,0.56,78.33,133.58,109.02,163.94,-17.7,-25.3
11,146.72,11.8,0.03,0.04,-0.02,0.53,0.161,0.56,78.35,133.6,110.23,164.66,-17.7,-25.1
12,150.07,11.8,0.03,0.09,-0.02,0.53,0.161,0.56,78.31,133.63,110.23,164.21,-18,-25.3
13,149.55,11.95,0.03,0.05,-0.02,0.53,0.161,0.56,78.31,133.58,108.36,164.21,-17.7,-25
14,149.55,11.96,0.03,0.05,-0.02,0.53,0.161,0.56,78.33,133.56,108.95,163.94,-17.7,-24.6
15,147.35,11.82,0.03,0.04,-0.02,0.53,0.161,0.56,78.35,133.53,110.13,164.56,-17.7,-24.6
16,149.05,11.82,0.03,0.09,-0.02,0.53,0.161,0.56,78.28,133.65,110.13,164.12,-17.7,-24.6
